time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1805291921705324e-08,-8.175483142772544e-08,10.008209662464846,6.283079415037296,1.2082863261042576e-05,0.0,-1.1689899369366798e-06,-9.159619280996162e-06,0.27362955525068067,-0.005551762263107886,0.00060117046714922,0.0,489.65118607932146,489.69589431433735,488.3320788285846,487.91788671526405
0.12000000000000001,-6.749321610661708e-07,-4.228723097768578e-06,10.02811778402447,6.2826666530752036,0.00024364364737294864,0.0,-3.562605283799407e-05,-0.00016786284506815766,0.3899413023375643,-0.009676429937438578,0.009687976350356908,0.0,442.6664726813663,443.41340167716845,441.4111974740271,441.07084878172265
0.18,-1.1164062054809308e-05,-2.862103684298222e-05,10.056645327048315,6.2820170401370845,0.001118761134286217,0.0,-0.0003975625549108219,-0.0007142616444854023,0.5609078382394859,-0.013233203297848262,0.022920485409095276,0.0,458.6751714890434,459.7245893964587,459.0417806691485,458.7596223542033
0.23999999999999996,-6.603848562483111e-05,-0.00010119795199471154,10.095233450629998,6.281214451277435,0.002486468276479137,0.0,-0.001584431098790391,-0.001793886428465868,0.7252722498543243,-0.013664579964609782,0.022543227831151234,0.0,457.48370667974126,457.45369249883214,456.9830991410256,456.9488388307315
0.3,-0.0002159951116562306,-0.0002511078008549248,10.140978040851858,6.280085808239527,0.004252766670396646,0.0,-0.0035697554716440307,-0.0032959534180615644,0.7994973372954814,-0.031861286920687834,0.040530351302603934,0.0,427.5270735181617,429.0569783567861,430.87412301920045,429.333192855868
0.36000000000000004,-0.0005317704480469895,-0.0005235544365252779,10.192907577245679,6.278127797405855,0.006392277310142802,0.0,-0.007202144435503341,-0.005991700974891094,0.93138659715774,-0.03422418300359929,0.02350050957937257,0.0,447.88894446553576,446.50247935574424,448.0519404166767,447.8594232061753
0.4200000000000001,-0.0011218148447085892,-0.001011163729129826,10.254771606533868,6.276415941968544,0.008265154281891007,0.0,-0.012660192120732808,-0.010478419651864291,1.1305692955614195,-0.0190618638789041,0.043355402899372515,0.0,466.927339056512,468.4738108689492,468.128832566941,469.3068145561852
0.48000000000000015,-0.002075055551151349,-0.0017944187641433446,10.327088884026864,6.2752979944556735,0.010808745618424709,0.0,-0.019394377510057223,-0.015752557763897584,1.2798476697291328,-0.017787248290553916,0.04039635522453482,0.0,453.818055174829,453.58144362968443,453.37280806678734,453.47525743391924
0.5400000000000001,-0.003458663824782026,-0.002897671646390946,10.405765362995993,6.2739968165469,0.013047015929736894,0.0,-0.026950850097155594,-0.021134818212529383,1.3426260224572524,-0.03092089343684092,0.03026747707845595,0.0,426.77062591729344,425.9060001951905,427.4232628780307,426.30254392625596
0.6000000000000002,-0.005326416088652322,-0.004344406317866635,10.48739693687904,6.271937883489567,0.014503604758397515,0.0,-0.03546209557756492,-0.02726929240968795,1.3783797011684937,-0.04215490496131935,0.008260177237336106,0.0,419.20808212365176,417.2916915469607,417.9904265689611,417.00975039894297
0.6600000000000003,-0.007745004941985913,-0.00621249749048187,10.572354308029329,6.270369215829394,0.015190125716664227,0.0,-0.04521498572129232,-0.035189693118482746,1.4534365363030817,-0.005391059087933716,0.017147440240054043,0.0,430.0043819886694,430.7564040705808,429.7744826924726,432.87858177789565
0.7200000000000003,-0.010802395309117337,-0.008612240138893052,10.664288742291548,6.269898337779834,0.016321448233926006,0.0,-0.05681445323989919,-0.04484237221212957,1.6108331911082856,-0.01328061387578655,0.02206914498749918,0.0,456.0285544980077,456.42142634876217,457.80439293838833,457.1763744830025
0.7800000000000004,-0.01460424057647687,-0.011620675133505865,10.766990568554796,6.269588478372267,0.017218717847214293,0.0,-0.07004637789378182,-0.05549538862887713,1.8122600754333682,0.007477853926236322,-0.005700975993644818,0.0,471.59088778218677,469.441069620696,469.71295418560226,471.319986389342
0.8400000000000004,-0.019165887238485335,-0.015233200062655931,10.878984083756135,6.269864220936434,0.01665288759800365,0.0,-0.08196014562709127,-0.06488169852365988,1.9206818888578867,-0.0019021116591552197,-0.018189235882808748,0.0,443.64225882616705,442.6158588253371,442.8978944801941,442.12573021273005
0.9000000000000005,-0.024392520002726695,-0.019376765392165235,10.995343480338859,6.269639151897081,0.015207929048158597,0.0,-0.09214617700099541,-0.0732519081087469,1.9579027798751483,-0.0077327435784250755,-0.039736535376757136,0.0,421.14614757059684,419.278192469113,420.53045242886395,420.02519067883804
0.9600000000000005,-0.03017640269209094,-0.024007080259804824,11.112399930487339,6.268909890630777,0.013170943858289874,0.0,-0.10046405397534078,-0.08114157754878173,1.9440045427832313,-0.02291920190354911,-0.02435107089686021,0.0,402.2732928327605,403.6633538235588,403.9223197295433,402.55058046347716
1.0200000000000005,-0.03645216095972614,-0.029154668205110035,11.230578268875147,6.267184810885123,0.011706979549256147,0.0,-0.10858845983024312,-0.0905868809387232,1.9951845588097754,-0.04417986102060153,-0.024496236932652543,0.0,424.4168000764857,424.40422808747763,426.3497876886075,424.5291472818177
1.0800000000000005,-0.04325963013775327,-0.03501092315701643,11.358158991494784,6.2640950868749705,0.009986512445162354,0.0,-0.11812329736837938,-0.10496646980540844,2.257022623239172,-0.07307865006667966,-0.03871385903462765,0.0,489.61143063183704,488.5523880226615,490.5362893166616,488.38402474160006
